Id,Label,name,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
n143,n143,salute,9,18.0,5.0,0.3347182549987016,6.834738147605917E-5,27,4.641393529125131E-4,0,0.8055555555555556,29,0.017786650123053135
n144,n144,are,163,411.0,4.0,0.503515625,0.04280930874554433,13,0.007306403187457302,0,0.10202226766643945,1347,0.48518776987374085
n145,n145,spectacular,11,22.0,4.0,0.41248,1.6866867417542122E-5,0,4.3940410183783933E-4,0,0.8363636363636363,46,0.0984926214790138
n146,n146,deserve,16,34.0,5.0,0.40155763239875386,2.1114843088479259E-4,0,6.635660224186073E-4,0,0.4583333333333333,55,0.09509610017556198
n147,n147,Oscar,76,175.0,4.0,0.4711257309941521,0.010679566647503651,0,0.003227866350175809,0,0.20210526315789473,576,0.3190184725609598
n148,n148,guy,29,67.0,4.0,0.42387372574810916,0.0013341841031589295,5,0.0012774203297170243,0,0.33251231527093594,135,0.1400361335637506
n149,n149,legend,16,33.0,5.0,0.3709352517985611,1.6461130890377599E-4,0,6.556973980037363E-4,0,0.45,54,0.0642847537439641
n150,n150,definite,4,8.0,5.0,0.3305975891254168,0.0,11,2.4451860925345443E-4,0,1.0,6,0.013464647179540882
n151,n151,watch,104,243.0,4.0,0.4749447310243184,0.01699836113838593,11,0.004323232303290193,0,0.14581777445855115,781,0.3596843630520679
n152,n152,Must,12,24.0,4.0,0.40306441525953723,4.9076739137243E-5,1,5.03442574609648E-4,0,0.6818181818181818,45,0.07432078787051435
n153,n153,Proud,12,28.0,4.0,0.3983312731767615,0.0022499570022205878,13,6.576962871131843E-4,0,0.5606060606060606,37,0.06536176049209358
n154,n154,project,8,16.0,4.0,0.39649338665026146,0.0,1,3.704458186181334E-4,0,1.0,28,0.06069363163847938
n155,n155,Best,77,175.0,4.0,0.4553161427057577,0.010635755466423749,10,0.003201438416738498,0,0.1544771018455229,452,0.2588984737818539
n156,n156,Off,0,0.0,0.0,0.0,0.0,6,1.140641041326934E-4,2,0.0,0,0.0
n157,n157,outdid,2,6.0,5.0,0.35706371191135733,0.0,0,1.9926286932321543E-4,0,1.0,1,0.024027437634099532
n158,n158,worth,40,96.0,4.0,0.4408344733242134,0.0012299189831017662,1,0.0015700740626304742,0,0.3435897435897436,268,0.2082203714161711
n159,n159,not,84,202.0,4.0,0.4638359121986326,0.013117873319937407,0,0.0034995568358070902,0,0.17412507171543315,607,0.30884955169491646
n160,n160,be,103,241.0,4.0,0.4688977810112768,0.020909179774662154,0,0.0044216601551787,0,0.1338282885969922,703,0.3279330510409692
n161,n161,missed,7,14.0,5.0,0.3640214628635978,0.0,0,3.248573833596263E-4,0,1.0,21,0.043074244179016966
n162,n162,Let,1,2.0,4.0,0.34492908750334494,0.0,1,1.4405217329685303E-4,0,0.0,0,0.013108543688904864
